Date,Time,Software,Status,Feature,User Machine,Licenses
2023-05-01,19:54:27,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,20:09:57,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,20:09:57,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,20:25:27,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,20:25:27,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,20:40:57,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,20:40:57,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,20:56:27,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,20:56:27,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,21:11:57,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,21:11:57,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,21:27:27,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,21:27:27,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,21:42:57,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,21:42:57,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,21:58:27,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,21:58:27,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,22:13:57,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,22:13:57,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,22:29:27,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,22:29:27,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,22:44:57,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,22:44:57,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,23:00:27,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,23:00:27,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,23:15:57,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,23:15:57,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,23:31:28,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,23:31:28,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-01,23:46:58,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-01,23:46:58,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-02,10:06:28,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-02,10:06:28,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-02,10:21:58,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-02,10:21:58,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-02,10:37:28,ABAQUSLM,DENIED,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-02,10:37:28,ABAQUSLM,DENIED,explicit,askmanson@node352.igcar.gov.in ,25
2023-05-02,10:49:37,ABAQUSLM,IN,standard,kulbir@node355.igcar.gov.in ,30
2023-05-02,10:49:37,ABAQUSLM,IN,abaqus,kulbir@node355.igcar.gov.in ,30
2023-05-02,10:49:37,ABAQUSLM,OUT,abaqus,askmanson@node352.igcar.gov.in ,25
2023-05-02,10:49:37,ABAQUSLM,IN,parallel,kulbir@node355.igcar.gov.in ,72
2023-05-02,10:49:58,ABAQUSLM,OUT,parallel,askmanson@node352.igcar.gov.in ,48
2023-05-02,11:17:31,ABAQUSLM,OUT,abaqus,kulbir@GWS-24 ,4
2023-05-02,11:17:31,ABAQUSLM,OUT,cae,kulbir@GWS-24 ,4
2023-05-02,11:47:37,ABAQUSLM,DENIED,abaqus,kulbir@GWS-17 ,2
2023-05-02,11:47:37,ABAQUSLM,DENIED,abaqus,kulbir@GWS-17 ,2
2023-05-02,11:47:37,ABAQUSLM,DENIED,abaqus,kulbir@GWS-17 ,2
2023-05-02,11:47:54,ABAQUSLM,DENIED,abaqus,kulbir@GWS-17 ,4
2023-05-02,11:48:11,ABAQUSLM,DENIED,abaqus,kulbir@GWS-17 ,4
2023-05-02,11:50:27,ABAQUSLM,DENIED,abaqus,kulbir@GWS-17 ,4
2023-05-02,11:51:57,ABAQUSLM,DENIED,abaqus,kulbir@GWS-17 ,4
2023-05-02,11:52:16,ABAQUSLM,DENIED,abaqus,kulbir@GWS-17 ,4
2023-05-02,11:53:28,ABAQUSLM,DENIED,abaqus,kulbir@GWS-17 ,4
2023-05-02,11:57:32,ABAQUSLM,IN,cae,kulbir@GWS-24 ,4
2023-05-02,11:57:32,ABAQUSLM,IN,abaqus,kulbir@GWS-24 ,4
2023-05-02,11:57:44,ABAQUSLM,OUT,abaqus,kulbir@GWS-17 ,4
2023-05-02,11:57:44,ABAQUSLM,OUT,cae,kulbir@GWS-17 ,4
2023-05-02,13:40:57,ABAQUSLM,DENIED,abaqus,jagruti@GWS-2 ,4
2023-05-02,13:41:17,ABAQUSLM,DENIED,abaqus,jagruti@GWS-2 ,4
2023-05-02,13:41:31,ABAQUSLM,DENIED,abaqus,jagruti@GWS-2 ,4
2023-05-02,13:42:14,ABAQUSLM,DENIED,abaqus,jagruti@GWS-2 ,4
2023-05-02,13:43:15,ABAQUSLM,DENIED,abaqus,jagruti@GWS-2 ,2
2023-05-02,13:43:15,ABAQUSLM,DENIED,abaqus,jagruti@GWS-2 ,2
2023-05-02,13:43:15,ABAQUSLM,DENIED,abaqus,jagruti@GWS-2 ,2
2023-05-02,15:34:50,ABAQUSLM,IN,cae,kulbir@GWS-17 ,4
2023-05-02,15:34:50,ABAQUSLM,IN,abaqus,kulbir@GWS-17 ,4
2023-05-02,17:44:48,ABAQUSLM,OUT,abaqus,kathirvelan@GWS-9 ,4
2023-05-02,17:44:48,ABAQUSLM,OUT,cae,kathirvelan@GWS-9 ,4
2023-05-02,17:45:43,ABAQUSLM,IN,cae,kathirvelan@GWS-9 ,4
2023-05-02,17:45:43,ABAQUSLM,IN,abaqus,kathirvelan@GWS-9 ,4
2023-05-02,17:47:55,ABAQUSLM,OUT,abaqus,kathirvelan@GWS-9 ,4
2023-05-02,17:47:55,ABAQUSLM,OUT,cae,kathirvelan@GWS-9 ,4
2023-05-02,17:50:56,ABAQUSLM,IN,cae,kathirvelan@GWS-9 ,4
2023-05-02,17:50:56,ABAQUSLM,IN,abaqus,kathirvelan@GWS-9 ,4
2023-05-02,17:51:06,ABAQUSLM,OUT,abaqus,kathirvelan@GWS-9 ,4
2023-05-02,17:51:06,ABAQUSLM,OUT,cae,kathirvelan@GWS-9 ,4
2023-05-02,18:12:21,ABAQUSLM,IN,cae,kathirvelan@GWS-9 ,4
2023-05-02,18:12:21,ABAQUSLM,IN,abaqus,kathirvelan@GWS-9 ,4
2023-05-03,12:00:58,ABAQUSLM,IN,standard,kulbir@node348.igcar.gov.in ,34
2023-05-03,12:00:58,ABAQUSLM,IN,abaqus,kulbir@node348.igcar.gov.in ,34
2023-05-03,12:00:58,ABAQUSLM,IN,parallel,kulbir@node348.igcar.gov.in ,96
2023-05-03,13:07:03,ABAQUSLM,OUT,abaqus,askmanson@head1.igcar.gov.in ,4
2023-05-03,13:07:03,ABAQUSLM,OUT,cae,askmanson@head1.igcar.gov.in ,4
2023-05-03,13:58:01,ABAQUSLM,OUT,abaqus,askmanson@node348.igcar.gov.in ,5
2023-05-03,13:58:01,ABAQUSLM,OUT,standard,askmanson@node348.igcar.gov.in ,5
2023-05-03,14:02:18,ABAQUSLM,IN,standard,askmanson@node348.igcar.gov.in ,5
2023-05-03,14:02:18,ABAQUSLM,IN,abaqus,askmanson@node348.igcar.gov.in ,5
2023-05-03,14:06:35,ABAQUSLM,OUT,abaqus,askmanson@node348.igcar.gov.in ,25
2023-05-03,14:06:35,ABAQUSLM,OUT,explicit,askmanson@node348.igcar.gov.in ,25
2023-05-03,14:06:35,ABAQUSLM,OUT,parallel,askmanson@node348.igcar.gov.in ,48
2023-05-03,14:09:03,ABAQUSLM,IN,abaqus,askmanson@head1.igcar.gov.in ,4
2023-05-03,14:09:03,ABAQUSLM,IN,cae,askmanson@head1.igcar.gov.in ,4
2023-05-03,17:50:55,ABAQUSLM,OUT,abaqus,Admin@GWS-8 ,4
2023-05-03,17:50:55,ABAQUSLM,OUT,cae,Admin@GWS-8 ,4
2023-05-03,17:51:23,ABAQUSLM,IN,cae,Admin@GWS-8 ,4
2023-05-03,17:51:23,ABAQUSLM,IN,abaqus,Admin@GWS-8 ,4
2023-05-03,18:08:27,ABAQUSLM,OUT,abaqus,Admin@GWS-5 ,4
2023-05-03,18:08:27,ABAQUSLM,OUT,cae,Admin@GWS-5 ,4
2023-05-03,18:08:36,ABAQUSLM,IN,cae,Admin@GWS-5 ,4
2023-05-03,18:08:36,ABAQUSLM,IN,abaqus,Admin@GWS-5 ,4
2023-05-03,18:08:55,ABAQUSLM,OUT,abaqus,Admin@GWS-5 ,4
2023-05-03,18:08:55,ABAQUSLM,OUT,cae,Admin@GWS-5 ,4
2023-05-03,18:09:37,ABAQUSLM,IN,cae,Admin@GWS-5 ,4
2023-05-03,18:09:37,ABAQUSLM,IN,abaqus,Admin@GWS-5 ,4
2023-05-03,18:11:30,ABAQUSLM,OUT,abaqus,admin@GWS-6 ,4
2023-05-03,18:11:30,ABAQUSLM,OUT,cae,admin@GWS-6 ,4
2023-05-03,18:11:46,ABAQUSLM,IN,cae,admin@GWS-6 ,4
2023-05-03,18:11:46,ABAQUSLM,IN,abaqus,admin@GWS-6 ,4
2023-05-03,18:13:22,ABAQUSLM,OUT,abaqus,admin@GWS-7 ,4
2023-05-03,18:13:22,ABAQUSLM,OUT,cae,admin@GWS-7 ,4
2023-05-03,18:13:46,ABAQUSLM,IN,cae,admin@GWS-7 ,4
2023-05-03,18:13:46,ABAQUSLM,IN,abaqus,admin@GWS-7 ,4
2023-05-03,18:15:14,ABAQUSLM,OUT,abaqus,Admin@GWS-9 ,4
2023-05-03,18:15:14,ABAQUSLM,OUT,cae,Admin@GWS-9 ,4
2023-05-03,18:15:27,ABAQUSLM,IN,cae,Admin@GWS-9 ,4
2023-05-03,18:15:27,ABAQUSLM,IN,abaqus,Admin@GWS-9 ,4
2023-05-03,18:16:29,ABAQUSLM,OUT,abaqus,Admin@GWS-10 ,4
2023-05-03,18:16:29,ABAQUSLM,OUT,cae,Admin@GWS-10 ,4
2023-05-03,18:16:46,ABAQUSLM,IN,cae,Admin@GWS-10 ,4
2023-05-03,18:16:46,ABAQUSLM,IN,abaqus,Admin@GWS-10 ,4
2023-05-03,18:17:56,ABAQUSLM,OUT,abaqus,Admin@GWS-11 ,4
2023-05-03,18:17:56,ABAQUSLM,OUT,cae,Admin@GWS-11 ,4
2023-05-03,18:17:59,ABAQUSLM,IN,cae,Admin@GWS-11 ,4
2023-05-03,18:17:59,ABAQUSLM,IN,abaqus,Admin@GWS-11 ,4
2023-05-03,18:18:28,ABAQUSLM,OUT,abaqus,Admin@GWS-11 ,4
2023-05-03,18:18:28,ABAQUSLM,OUT,cae,Admin@GWS-11 ,4
2023-05-03,18:18:31,ABAQUSLM,IN,cae,Admin@GWS-11 ,4
2023-05-03,18:18:31,ABAQUSLM,IN,abaqus,Admin@GWS-11 ,4
2023-05-03,18:19:36,ABAQUSLM,OUT,abaqus,Admin@GWS-11 ,4
2023-05-03,18:19:36,ABAQUSLM,OUT,cae,Admin@GWS-11 ,4
2023-05-03,18:19:39,ABAQUSLM,IN,cae,Admin@GWS-11 ,4
2023-05-03,18:19:39,ABAQUSLM,IN,abaqus,Admin@GWS-11 ,4
2023-05-03,18:21:03,ABAQUSLM,OUT,abaqus,admin@GWS-12 ,4
2023-05-03,18:21:03,ABAQUSLM,OUT,cae,admin@GWS-12 ,4
2023-05-03,18:21:30,ABAQUSLM,IN,cae,admin@GWS-12 ,4
2023-05-03,18:21:30,ABAQUSLM,IN,abaqus,admin@GWS-12 ,4
2023-05-03,18:27:49,ABAQUSLM,OUT,abaqus,admin@GWS-13 ,4
2023-05-03,18:27:49,ABAQUSLM,OUT,cae,admin@GWS-13 ,4
2023-05-03,18:28:07,ABAQUSLM,IN,cae,admin@GWS-13 ,4
2023-05-03,18:28:07,ABAQUSLM,IN,abaqus,admin@GWS-13 ,4
2023-05-03,18:34:04,ABAQUSLM,OUT,abaqus,Admin@GWS-14 ,4
2023-05-03,18:34:04,ABAQUSLM,OUT,cae,Admin@GWS-14 ,4
2023-05-03,18:34:20,ABAQUSLM,IN,cae,Admin@GWS-14 ,4
2023-05-03,18:34:20,ABAQUSLM,IN,abaqus,Admin@GWS-14 ,4
2023-05-03,18:36:03,ABAQUSLM,OUT,abaqus,Admin@GWS-14 ,4
2023-05-03,18:36:03,ABAQUSLM,OUT,cae,Admin@GWS-14 ,4
2023-05-03,18:36:25,ABAQUSLM,IN,cae,Admin@GWS-14 ,4
2023-05-03,18:36:25,ABAQUSLM,IN,abaqus,Admin@GWS-14 ,4
2023-05-03,18:42:57,ABAQUSLM,OUT,abaqus,admin@GWS-17 ,4
2023-05-03,18:42:57,ABAQUSLM,OUT,cae,admin@GWS-17 ,4
2023-05-03,18:43:17,ABAQUSLM,IN,cae,admin@GWS-17 ,4
2023-05-03,18:43:17,ABAQUSLM,IN,abaqus,admin@GWS-17 ,4
2023-05-04,10:01:42,ABAQUSLM,OUT,abaqus,kulbir@GWS-7 ,4
2023-05-04,10:01:42,ABAQUSLM,OUT,cae,kulbir@GWS-7 ,4
2023-05-04,10:09:15,ABAQUSLM,IN,abaqus,kulbir@GWS-7 ,4
2023-05-04,10:09:15,ABAQUSLM,IN,cae,kulbir@GWS-7 ,4
2023-05-04,10:14:41,ABAQUSLM,OUT,abaqus,prince@GWS-9 ,8
2023-05-04,10:14:41,ABAQUSLM,OUT,standard,prince@GWS-9 ,8
2023-05-04,10:14:41,ABAQUSLM,OUT,parallel,prince@GWS-9 ,4
2023-05-04,10:15:24,ABAQUSLM,OUT,abaqus,prince@GWS-9 ,4
2023-05-04,10:15:24,ABAQUSLM,OUT,cae,prince@GWS-9 ,4
2023-05-04,10:15:36,ABAQUSLM,DENIED,abaqus,kulbir@GWS-7 ,4
2023-05-04,10:16:40,ABAQUSLM,DENIED,abaqus,kulbir@GWS-7 ,4
2023-05-04,10:18:05,ABAQUSLM,DENIED,abaqus,kulbir@GWS-7 ,4
2023-05-04,10:20:30,ABAQUSLM,IN,cae,prince@GWS-9 ,4
2023-05-04,10:20:30,ABAQUSLM,IN,abaqus,prince@GWS-9 ,4
2023-05-04,10:20:43,ABAQUSLM,OUT,abaqus,kulbir@GWS-7 ,4
2023-05-04,10:20:43,ABAQUSLM,OUT,cae,kulbir@GWS-7 ,4
2023-05-04,12:43:17,ABAQUSLM,IN,cae,kulbir@GWS-7 ,4
2023-05-04,12:43:17,ABAQUSLM,IN,abaqus,kulbir@GWS-7 ,4
2023-05-04,12:55:03,ABAQUSLM,OUT,abaqus,prince@GWS-8 ,4
2023-05-04,12:55:03,ABAQUSLM,OUT,cae,prince@GWS-8 ,4
2023-05-04,13:01:33,ABAQUSLM,IN,cae,prince@GWS-8 ,4
2023-05-04,13:01:33,ABAQUSLM,IN,abaqus,prince@GWS-8 ,4
2023-05-04,13:02:40,ABAQUSLM,OUT,abaqus,prince@GWS-9 ,4
2023-05-04,13:02:40,ABAQUSLM,OUT,cae,prince@GWS-9 ,4
2023-05-04,13:19:49,ABAQUSLM,IN,standard,prince@GWS-9 ,8
2023-05-04,13:19:49,ABAQUSLM,IN,abaqus,prince@GWS-9 ,8
2023-05-04,13:19:49,ABAQUSLM,IN,parallel,prince@GWS-9 ,4
2023-05-04,13:20:07,ABAQUSLM,OUT,abaqus,prince@GWS-9 ,8
2023-05-04,13:20:07,ABAQUSLM,OUT,standard,prince@GWS-9 ,8
2023-05-04,13:20:08,ABAQUSLM,OUT,parallel,prince@GWS-9 ,4
2023-05-04,13:21:08,ABAQUSLM,IN,cae,prince@GWS-9 ,4
2023-05-04,13:21:08,ABAQUSLM,IN,abaqus,prince@GWS-9 ,4
2023-05-04,14:28:34,ABAQUSLM,DENIED,abaqus,kulbir@node350.igcar.gov.in ,8
2023-05-04,14:28:34,ABAQUSLM,DENIED,standard,kulbir@node350.igcar.gov.in ,8
2023-05-04,14:28:34,ABAQUSLM,QUEUED,abaqus,kulbir@node350.igcar.gov.in ,8
2023-05-04,14:28:34,ABAQUSLM,OUT,standard,kulbir@node350.igcar.gov.in ,8
2023-05-04,14:39:28,ABAQUSLM,DENIED,abaqus,kulbir@node351.igcar.gov.in ,5
2023-05-04,14:39:28,ABAQUSLM,DENIED,standard,kulbir@node351.igcar.gov.in ,5
2023-05-04,14:39:28,ABAQUSLM,QUEUED,abaqus,kulbir@node351.igcar.gov.in ,5
2023-05-04,14:39:28,ABAQUSLM,OUT,standard,kulbir@node351.igcar.gov.in ,5
2023-05-04,14:42:50,ABAQUSLM,DEQUEUED,abaqus,kulbir@node350.igcar.gov.in ,8
2023-05-04,14:42:50,ABAQUSLM,OUT,abaqus,kulbir@node351.igcar.gov.in ,5
2023-05-04,14:42:50,ABAQUSLM,IN,standard,kulbir@node350.igcar.gov.in ,8
2023-05-04,14:49:57,ABAQUSLM,IN,standard,kulbir@node351.igcar.gov.in ,5
2023-05-04,14:49:57,ABAQUSLM,IN,abaqus,kulbir@node351.igcar.gov.in ,5
2023-05-04,14:50:16,ABAQUSLM,OUT,abaqus,kulbir@node350.igcar.gov.in ,6
2023-05-04,14:50:16,ABAQUSLM,OUT,standard,kulbir@node350.igcar.gov.in ,6
2023-05-04,14:50:16,ABAQUSLM,OUT,parallel,kulbir@node350.igcar.gov.in ,2
2023-05-04,14:52:56,ABAQUSLM,DENIED,abaqus,rosysarkar@node351.igcar.gov.in ,8
2023-05-04,14:52:56,ABAQUSLM,DENIED,standard,rosysarkar@node351.igcar.gov.in ,8
2023-05-04,14:52:56,ABAQUSLM,QUEUED,abaqus,rosysarkar@node351.igcar.gov.in ,8
2023-05-04,14:52:56,ABAQUSLM,OUT,standard,rosysarkar@node351.igcar.gov.in ,8
2023-05-04,14:56:07,ABAQUSLM,IN,standard,kulbir@node350.igcar.gov.in ,6
2023-05-04,14:56:07,ABAQUSLM,IN,abaqus,kulbir@node350.igcar.gov.in ,6
2023-05-04,14:56:07,ABAQUSLM,IN,parallel,kulbir@node350.igcar.gov.in ,2
2023-05-04,15:08:26,ABAQUSLM,DENIED,abaqus,rosysarkar@node351.igcar.gov.in ,8
2023-05-04,15:08:26,ABAQUSLM,DENIED,standard,rosysarkar@node351.igcar.gov.in ,8
2023-05-04,15:23:56,ABAQUSLM,DENIED,abaqus,rosysarkar@node351.igcar.gov.in ,8
2023-05-04,15:23:56,ABAQUSLM,DENIED,standard,rosysarkar@node351.igcar.gov.in ,8
2023-05-04,15:28:45,ABAQUSLM,DENIED,abaqus,kulbir@node350.igcar.gov.in ,6
2023-05-04,15:28:45,ABAQUSLM,DENIED,standard,kulbir@node350.igcar.gov.in ,6
2023-05-04,15:28:45,ABAQUSLM,QUEUED,abaqus,kulbir@node350.igcar.gov.in ,6
2023-05-04,15:28:45,ABAQUSLM,OUT,standard,kulbir@node350.igcar.gov.in ,6
2023-05-04,15:32:52,ABAQUSLM,DEQUEUED,abaqus,rosysarkar@node351.igcar.gov.in ,8
2023-05-04,15:32:52,ABAQUSLM,OUT,abaqus,kulbir@node350.igcar.gov.in ,6
2023-05-04,15:32:52,ABAQUSLM,IN,standard,rosysarkar@node351.igcar.gov.in ,8
2023-05-04,15:33:15,ABAQUSLM,OUT,parallel,kulbir@node350.igcar.gov.in ,2
2023-05-04,15:37:48,ABAQUSLM,IN,standard,kulbir@node350.igcar.gov.in ,6
