Date,Time,Software,Feature,User Machine,Licenses
2023-05-01,19:07:57,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,19:07:57,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,19:23:27,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,19:23:27,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,19:38:57,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,19:38:57,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,19:54:27,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,19:54:27,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,20:09:57,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,20:09:57,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,20:25:27,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,20:25:27,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,20:40:57,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,20:40:57,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,20:56:27,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,20:56:27,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,21:11:57,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,21:11:57,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,21:27:27,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,21:27:27,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,21:42:57,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,21:42:57,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,21:58:27,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,21:58:27,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,22:13:57,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,22:13:57,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,22:29:27,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,22:29:27,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,22:44:57,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,22:44:57,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,23:00:27,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,23:00:27,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,23:15:57,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,23:15:57,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,23:31:28,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,23:31:28,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,23:46:58,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,23:46:58,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,10:06:28,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,10:06:28,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,10:21:58,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,10:21:58,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,10:37:28,abaqus,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,10:37:28,explicit,askmanson@node352.igcar.gov.in,Unknown,"-24,332"
2023-05-01,10:49:37,standard,kulbir@node355.igcar.gov.in,Unknown,licenses
2023-05-01,10:49:37,abaqus,kulbir@node355.igcar.gov.in,Unknown,licenses
2023-05-01,10:49:37,abaqus,askmanson@node352.igcar.gov.in,Unknown,licenses
2023-05-01,10:49:37,parallel,kulbir@node355.igcar.gov.in,Unknown,licenses
2023-05-01,10:49:58,parallel,askmanson@node352.igcar.gov.in,Unknown,licenses
2023-05-01,11:17:31,abaqus,kulbir@GWS-24,Unknown,licenses
2023-05-01,11:17:31,cae,kulbir@GWS-24,Unknown,licenses
2023-05-01,11:47:37,abaqus,kulbir@GWS-17,Unknown,"-4,342"
2023-05-01,11:47:37,viewer,kulbir@GWS-17,Unknown,"-4,342"
2023-05-01,11:47:37,abaqus,kulbir@GWS-17,Unknown,"-4,342:104"
2023-05-01,11:47:37,viewer,kulbir@GWS-17,Unknown,"-4,342:104"
2023-05-01,11:47:37,abaqus,kulbir@GWS-17,Unknown,"-4,342:104"
2023-05-01,11:47:37,cae,kulbir@GWS-17,Unknown,"-4,342:104"
2023-05-01,11:47:54,abaqus,kulbir@GWS-17,Unknown,"-4,342:104"
2023-05-01,11:47:54,cae,kulbir@GWS-17,Unknown,"-4,342:104"
2023-05-01,11:48:11,abaqus,kulbir@GWS-17,Unknown,"-4,342:104"
2023-05-01,11:48:11,cae,kulbir@GWS-17,Unknown,"-4,342:104"
2023-05-01,11:50:27,abaqus,kulbir@GWS-17,Unknown,"-4,342:104"
2023-05-01,11:50:27,cae,kulbir@GWS-17,Unknown,"-4,342:104"
2023-05-01,11:51:57,abaqus,kulbir@GWS-17,Unknown,"-4,342:104"
2023-05-01,11:51:57,cae,kulbir@GWS-17,Unknown,"-4,342:104"
2023-05-01,11:52:16,abaqus,kulbir@GWS-17,Unknown,"-4,342:104"
2023-05-01,11:52:16,cae,kulbir@GWS-17,Unknown,"-4,342:104"
2023-05-01,11:53:28,abaqus,kulbir@GWS-17,Unknown,"-4,342:104"
2023-05-01,11:53:28,cae,kulbir@GWS-17,Unknown,"-4,342:104"
2023-05-01,11:57:32,cae,kulbir@GWS-24,Unknown,licenses
2023-05-01,11:57:32,abaqus,kulbir@GWS-24,Unknown,licenses
2023-05-01,11:57:44,abaqus,kulbir@GWS-17,Unknown,licenses
2023-05-01,11:57:44,cae,kulbir@GWS-17,Unknown,licenses
2023-05-02,13:40:57,abaqus,jagruti@GWS-2,Unknown,"-4,342"
2023-05-02,13:40:57,cae,jagruti@GWS-2,Unknown,"-4,342"
2023-05-02,13:41:17,abaqus,jagruti@GWS-2,Unknown,"-4,342:104"
2023-05-02,13:41:17,cae,jagruti@GWS-2,Unknown,"-4,342:104"
2023-05-02,13:41:31,abaqus,jagruti@GWS-2,Unknown,"-4,342:104"
2023-05-02,13:41:31,cae,jagruti@GWS-2,Unknown,"-4,342:104"
2023-05-02,13:42:14,abaqus,jagruti@GWS-2,Unknown,"-4,342:104"
2023-05-02,13:42:14,cae,jagruti@GWS-2,Unknown,"-4,342:104"
2023-05-02,13:43:15,abaqus,jagruti@GWS-2,Unknown,"-4,342"
2023-05-02,13:43:15,viewer,jagruti@GWS-2,Unknown,"-4,342"
2023-05-02,13:43:15,abaqus,jagruti@GWS-2,Unknown,"-4,342:104"
2023-05-02,13:43:15,viewer,jagruti@GWS-2,Unknown,"-4,342:104"
2023-05-02,13:43:15,abaqus,jagruti@GWS-2,Unknown,"-4,342:104"
2023-05-02,13:43:15,cae,jagruti@GWS-2,Unknown,"-4,342:104"
2023-05-02,15:34:50,cae,kulbir@GWS-17,Unknown,licenses
2023-05-02,15:34:50,abaqus,kulbir@GWS-17,Unknown,licenses
2023-05-02,17:44:48,abaqus,kathirvelan@GWS-9,Unknown,licenses
2023-05-02,17:44:48,cae,kathirvelan@GWS-9,Unknown,licenses
2023-05-02,17:45:43,cae,kathirvelan@GWS-9,Unknown,licenses
2023-05-02,17:45:43,abaqus,kathirvelan@GWS-9,Unknown,licenses
2023-05-02,17:47:55,abaqus,kathirvelan@GWS-9,Unknown,licenses
2023-05-02,17:47:55,cae,kathirvelan@GWS-9,Unknown,licenses
2023-05-02,17:50:56,cae,kathirvelan@GWS-9,Unknown,licenses
2023-05-02,17:50:56,abaqus,kathirvelan@GWS-9,Unknown,licenses
2023-05-02,17:51:06,abaqus,kathirvelan@GWS-9,Unknown,licenses
2023-05-02,17:51:06,cae,kathirvelan@GWS-9,Unknown,licenses
2023-05-02,18:12:21,cae,kathirvelan@GWS-9,Unknown,licenses
2023-05-02,18:12:21,abaqus,kathirvelan@GWS-9,Unknown,licenses
2023-05-02,12:00:58,standard,kulbir@node348.igcar.gov.in,Unknown,licenses
2023-05-02,12:00:58,abaqus,kulbir@node348.igcar.gov.in,Unknown,licenses
2023-05-02,12:00:58,parallel,kulbir@node348.igcar.gov.in,Unknown,licenses
2023-05-03,13:07:03,abaqus,askmanson@head1.igcar.gov.in,Unknown,licenses
2023-05-03,13:07:03,cae,askmanson@head1.igcar.gov.in,Unknown,licenses
2023-05-03,13:58:01,abaqus,askmanson@node348.igcar.gov.in,Unknown,licenses
2023-05-03,13:58:01,standard,askmanson@node348.igcar.gov.in,Unknown,licenses
2023-05-03,14:02:18,standard,askmanson@node348.igcar.gov.in,Unknown,licenses
2023-05-03,14:02:18,abaqus,askmanson@node348.igcar.gov.in,Unknown,licenses
2023-05-03,14:06:35,abaqus,askmanson@node348.igcar.gov.in,Unknown,licenses
2023-05-03,14:06:35,explicit,askmanson@node348.igcar.gov.in,Unknown,licenses
2023-05-03,14:06:35,parallel,askmanson@node348.igcar.gov.in,Unknown,licenses
2023-05-03,14:09:03,abaqus,askmanson@head1.igcar.gov.in,Unknown,licenses
2023-05-03,14:09:03,cae,askmanson@head1.igcar.gov.in,Unknown,licenses
2023-05-03,17:50:55,abaqus,Admin@GWS-8,Unknown,licenses
2023-05-03,17:50:55,cae,Admin@GWS-8,Unknown,licenses
2023-05-03,17:51:23,cae,Admin@GWS-8,Unknown,licenses
2023-05-03,17:51:23,abaqus,Admin@GWS-8,Unknown,licenses
2023-05-03,18:08:27,abaqus,Admin@GWS-5,Unknown,licenses
2023-05-03,18:08:27,cae,Admin@GWS-5,Unknown,licenses
2023-05-03,18:08:36,cae,Admin@GWS-5,Unknown,licenses
2023-05-03,18:08:36,abaqus,Admin@GWS-5,Unknown,licenses
2023-05-03,18:08:55,abaqus,Admin@GWS-5,Unknown,licenses
2023-05-03,18:08:55,cae,Admin@GWS-5,Unknown,licenses
2023-05-03,18:09:37,cae,Admin@GWS-5,Unknown,licenses
2023-05-03,18:09:37,abaqus,Admin@GWS-5,Unknown,licenses
2023-05-03,18:11:30,abaqus,admin@GWS-6,Unknown,licenses
2023-05-03,18:11:30,cae,admin@GWS-6,Unknown,licenses
2023-05-03,18:11:46,cae,admin@GWS-6,Unknown,licenses
2023-05-03,18:11:46,abaqus,admin@GWS-6,Unknown,licenses
2023-05-03,18:13:22,abaqus,admin@GWS-7,Unknown,licenses
2023-05-03,18:13:22,cae,admin@GWS-7,Unknown,licenses
2023-05-03,18:13:46,cae,admin@GWS-7,Unknown,licenses
2023-05-03,18:13:46,abaqus,admin@GWS-7,Unknown,licenses
2023-05-03,18:15:14,abaqus,Admin@GWS-9,Unknown,licenses
2023-05-03,18:15:14,cae,Admin@GWS-9,Unknown,licenses
2023-05-03,18:15:27,cae,Admin@GWS-9,Unknown,licenses
2023-05-03,18:15:27,abaqus,Admin@GWS-9,Unknown,licenses
2023-05-03,18:16:29,abaqus,Admin@GWS-10,Unknown,licenses
2023-05-03,18:16:29,cae,Admin@GWS-10,Unknown,licenses
2023-05-03,18:16:46,cae,Admin@GWS-10,Unknown,licenses
2023-05-03,18:16:46,abaqus,Admin@GWS-10,Unknown,licenses
2023-05-03,18:17:56,abaqus,Admin@GWS-11,Unknown,licenses
2023-05-03,18:17:56,cae,Admin@GWS-11,Unknown,licenses
2023-05-03,18:17:59,cae,Admin@GWS-11,Unknown,licenses
2023-05-03,18:17:59,abaqus,Admin@GWS-11,Unknown,licenses
2023-05-03,18:18:28,abaqus,Admin@GWS-11,Unknown,licenses
2023-05-03,18:18:28,cae,Admin@GWS-11,Unknown,licenses
2023-05-03,18:18:31,cae,Admin@GWS-11,Unknown,licenses
2023-05-03,18:18:31,abaqus,Admin@GWS-11,Unknown,licenses
2023-05-03,18:19:36,abaqus,Admin@GWS-11,Unknown,licenses
2023-05-03,18:19:36,cae,Admin@GWS-11,Unknown,licenses
2023-05-03,18:19:39,cae,Admin@GWS-11,Unknown,licenses
2023-05-03,18:19:39,abaqus,Admin@GWS-11,Unknown,licenses
2023-05-03,18:21:03,abaqus,admin@GWS-12,Unknown,licenses
2023-05-03,18:21:03,cae,admin@GWS-12,Unknown,licenses
2023-05-03,18:21:30,cae,admin@GWS-12,Unknown,licenses
2023-05-03,18:21:30,abaqus,admin@GWS-12,Unknown,licenses
2023-05-03,18:27:49,abaqus,admin@GWS-13,Unknown,licenses
2023-05-03,18:27:49,cae,admin@GWS-13,Unknown,licenses
2023-05-03,18:28:07,cae,admin@GWS-13,Unknown,licenses
2023-05-03,18:28:07,abaqus,admin@GWS-13,Unknown,licenses
2023-05-03,18:34:04,abaqus,Admin@GWS-14,Unknown,licenses
2023-05-03,18:34:04,cae,Admin@GWS-14,Unknown,licenses
2023-05-03,18:34:20,cae,Admin@GWS-14,Unknown,licenses
2023-05-03,18:34:20,abaqus,Admin@GWS-14,Unknown,licenses
2023-05-03,18:36:03,abaqus,Admin@GWS-14,Unknown,licenses
2023-05-03,18:36:03,cae,Admin@GWS-14,Unknown,licenses
2023-05-03,18:36:25,cae,Admin@GWS-14,Unknown,licenses
2023-05-03,18:36:25,abaqus,Admin@GWS-14,Unknown,licenses
2023-05-03,18:42:57,abaqus,admin@GWS-17,Unknown,licenses
2023-05-03,18:42:57,cae,admin@GWS-17,Unknown,licenses
2023-05-03,18:43:17,cae,admin@GWS-17,Unknown,licenses
2023-05-03,18:43:17,abaqus,admin@GWS-17,Unknown,licenses
2023-05-03,10:01:42,abaqus,kulbir@GWS-7,Unknown,licenses
2023-05-03,10:01:42,cae,kulbir@GWS-7,Unknown,licenses
2023-05-03,10:09:15,abaqus,kulbir@GWS-7,Unknown,licenses
2023-05-03,10:09:15,cae,kulbir@GWS-7,Unknown,licenses
2023-05-03,10:14:41,abaqus,prince@GWS-9,Unknown,licenses
2023-05-03,10:14:41,standard,prince@GWS-9,Unknown,licenses
2023-05-03,10:14:41,parallel,prince@GWS-9,Unknown,licenses
2023-05-03,10:15:24,abaqus,prince@GWS-9,Unknown,licenses
2023-05-03,10:15:24,cae,prince@GWS-9,Unknown,licenses
2023-05-03,10:15:36,abaqus,kulbir@GWS-7,Unknown,"-4,342"
2023-05-03,10:15:36,cae,kulbir@GWS-7,Unknown,"-4,342"
2023-05-03,10:16:40,abaqus,kulbir@GWS-7,Unknown,"-4,342:104"
2023-05-03,10:16:40,cae,kulbir@GWS-7,Unknown,"-4,342:104"
2023-05-03,10:18:05,abaqus,kulbir@GWS-7,Unknown,"-4,342:104"
2023-05-03,10:18:05,cae,kulbir@GWS-7,Unknown,"-4,342:104"
2023-05-03,10:20:30,cae,prince@GWS-9,Unknown,licenses
2023-05-03,10:20:30,abaqus,prince@GWS-9,Unknown,licenses
2023-05-03,10:20:43,abaqus,kulbir@GWS-7,Unknown,licenses
2023-05-03,10:20:43,cae,kulbir@GWS-7,Unknown,licenses
2023-05-03,12:43:17,cae,kulbir@GWS-7,Unknown,licenses
2023-05-03,12:43:17,abaqus,kulbir@GWS-7,Unknown,licenses
2023-05-04,12:55:03,abaqus,prince@GWS-8,Unknown,licenses
2023-05-04,12:55:03,cae,prince@GWS-8,Unknown,licenses
2023-05-04,13:01:33,cae,prince@GWS-8,Unknown,licenses
2023-05-04,13:01:33,abaqus,prince@GWS-8,Unknown,licenses
2023-05-04,13:02:40,abaqus,prince@GWS-9,Unknown,licenses
2023-05-04,13:02:40,cae,prince@GWS-9,Unknown,licenses
2023-05-04,13:19:49,standard,prince@GWS-9,Unknown,licenses
2023-05-04,13:19:49,abaqus,prince@GWS-9,Unknown,licenses
2023-05-04,13:19:49,parallel,prince@GWS-9,Unknown,licenses
2023-05-04,13:20:07,abaqus,prince@GWS-9,Unknown,licenses
2023-05-04,13:20:07,standard,prince@GWS-9,Unknown,licenses
2023-05-04,13:20:08,parallel,prince@GWS-9,Unknown,licenses
2023-05-04,13:21:08,cae,prince@GWS-9,Unknown,licenses
2023-05-04,13:21:08,abaqus,prince@GWS-9,Unknown,licenses
2023-05-04,14:28:34,abaqus,kulbir@node350.igcar.gov.in,Unknown,"-4,342"
2023-05-04,14:28:34,standard,kulbir@node350.igcar.gov.in,Unknown,"-4,342"
2023-05-04,14:28:34,abaqus,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-04,14:28:34,standard,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-04,14:39:28,abaqus,kulbir@node351.igcar.gov.in,Unknown,"-24,332"
2023-05-04,14:39:28,standard,kulbir@node351.igcar.gov.in,Unknown,"-24,332"
2023-05-04,14:39:28,abaqus,kulbir@node351.igcar.gov.in,Unknown,licenses
2023-05-04,14:39:28,standard,kulbir@node351.igcar.gov.in,Unknown,licenses
2023-05-04,14:42:50,abaqus,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-04,14:42:50,abaqus,kulbir@node351.igcar.gov.in,Unknown,licenses
2023-05-04,14:42:50,standard,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-04,14:49:57,standard,kulbir@node351.igcar.gov.in,Unknown,licenses
2023-05-04,14:49:57,abaqus,kulbir@node351.igcar.gov.in,Unknown,licenses
2023-05-04,14:50:16,abaqus,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-04,14:50:16,standard,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-04,14:50:16,parallel,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-04,14:52:56,abaqus,rosysarkar@node351.igcar.gov.in,Unknown,"-4,342"
2023-05-04,14:52:56,standard,rosysarkar@node351.igcar.gov.in,Unknown,"-4,342"
2023-05-04,14:52:56,abaqus,rosysarkar@node351.igcar.gov.in,Unknown,licenses
2023-05-04,14:52:56,standard,rosysarkar@node351.igcar.gov.in,Unknown,licenses
2023-05-04,14:56:07,standard,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-04,14:56:07,abaqus,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-04,14:56:07,parallel,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-04,15:08:26,abaqus,rosysarkar@node351.igcar.gov.in,Unknown,"-24,332"
2023-05-04,15:08:26,standard,rosysarkar@node351.igcar.gov.in,Unknown,"-24,332"
2023-05-04,15:23:56,abaqus,rosysarkar@node351.igcar.gov.in,Unknown,"-24,332"
2023-05-04,15:23:56,standard,rosysarkar@node351.igcar.gov.in,Unknown,"-24,332"
2023-05-04,15:28:45,abaqus,kulbir@node350.igcar.gov.in,Unknown,"-24,332"
2023-05-04,15:28:45,standard,kulbir@node350.igcar.gov.in,Unknown,"-24,332"
2023-05-04,15:28:45,abaqus,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-04,15:28:45,standard,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-04,15:32:52,abaqus,rosysarkar@node351.igcar.gov.in,Unknown,licenses
2023-05-04,15:32:52,abaqus,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-04,15:32:52,standard,rosysarkar@node351.igcar.gov.in,Unknown,licenses
2023-05-04,15:33:15,parallel,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-04,15:37:48,standard,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-04,15:37:48,abaqus,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-04,15:37:48,parallel,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-05,17:11:25,abaqus,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-05,17:11:25,standard,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-05,17:11:25,parallel,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-05,17:30:44,abaqus,kulbir@node353.igcar.gov.in,Unknown,"-4,342"
2023-05-05,17:30:44,standard,kulbir@node353.igcar.gov.in,Unknown,"-4,342"
2023-05-05,17:30:44,abaqus,kulbir@node353.igcar.gov.in,Unknown,licenses
2023-05-05,17:30:44,standard,kulbir@node353.igcar.gov.in,Unknown,licenses
2023-05-05,17:37:17,standard,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-05,17:37:17,standard,kulbir@node353.igcar.gov.in,Unknown,licenses
2023-05-05,17:37:17,abaqus,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-05,17:37:17,abaqus,kulbir@node353.igcar.gov.in,Unknown,licenses
2023-05-05,17:37:17,parallel,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-05,17:37:44,parallel,kulbir@node353.igcar.gov.in,Unknown,licenses
2023-05-05,17:50:19,abaqus,kulbir@node350.igcar.gov.in,Unknown,"-4,342"
2023-05-05,17:50:19,standard,kulbir@node350.igcar.gov.in,Unknown,"-4,342"
2023-05-05,17:50:19,abaqus,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-05,17:50:19,standard,kulbir@node350.igcar.gov.in,Unknown,licenses
2023-05-05,18:05:49,abaqus,kulbir@node350.igcar.gov.in,Unknown,"-24,332"
2023-05-05,18:05:49,standard,kulbir@node350.igcar.gov.in,Unknown,"-24,332"
2023-05-05,18:21:19,abaqus,kulbir@node350.igcar.gov.in,Unknown,"-24,332"
2023-05-05,18:21:19,standard,kulbir@node350.igcar.gov.in,Unknown,"-24,332"
2023-05-05,18:36:49,abaqus,kulbir@node350.igcar.gov.in,Unknown,"-24,332"
2023-05-05,18:36:49,standard,kulbir@node350.igcar.gov.in,Unknown,"-24,332"
2023-05-05,18:52:19,abaqus,kulbir@node350.igcar.gov.in,Unknown,"-24,332"
