0,TIME,SOFTWARE,STATUS,FEATURE,USER_MACHINE,LICENSES
48,17:15:22,(ABAQUSLM),DENIED:,explicit,askmanson@node353.igcar.gov.in,(25
49,17:30:52,(ABAQUSLM),DENIED:,abaqus,askmanson@node353.igcar.gov.in,(25
50,17:30:52,(ABAQUSLM),DENIED:,explicit,askmanson@node353.igcar.gov.in,(25
51,17:46:22,(ABAQUSLM),DENIED:,abaqus,askmanson@node353.igcar.gov.in,(25
52,17:46:22,(ABAQUSLM),DENIED:,explicit,askmanson@node353.igcar.gov.in,(25
53,18:01:52,(ABAQUSLM),DENIED:,abaqus,askmanson@node353.igcar.gov.in,(25
54,18:01:52,(ABAQUSLM),DENIED:,explicit,askmanson@node353.igcar.gov.in,(25
55,18:17:22,(ABAQUSLM),DENIED:,abaqus,askmanson@node353.igcar.gov.in,(25
56,18:17:22,(ABAQUSLM),DENIED:,explicit,askmanson@node353.igcar.gov.in,(25
57,18:32:52,(ABAQUSLM),DENIED:,abaqus,askmanson@node353.igcar.gov.in,(25
58,18:32:52,(ABAQUSLM),DENIED:,explicit,askmanson@node353.igcar.gov.in,(25
59,18:48:22,(ABAQUSLM),DENIED:,abaqus,askmanson@node353.igcar.gov.in,(25
60,18:48:22,(ABAQUSLM),DENIED:,explicit,askmanson@node353.igcar.gov.in,(25
61,19:03:52,(ABAQUSLM),DENIED:,abaqus,askmanson@node353.igcar.gov.in,(25
62,19:03:52,(ABAQUSLM),DENIED:,explicit,askmanson@node353.igcar.gov.in,(25
63,19:19:22,(ABAQUSLM),DENIED:,abaqus,askmanson@node353.igcar.gov.in,(25
64,19:19:22,(ABAQUSLM),DENIED:,explicit,askmanson@node353.igcar.gov.in,(25
65,19:23:41,(ABAQUSLM),IN:,standard,kulbir@node350.igcar.gov.in,(30
66,19:23:41,(ABAQUSLM),IN:,abaqus,kulbir@node350.igcar.gov.in,(30
67,19:23:41,(ABAQUSLM),OUT:,abaqus,askmanson@node353.igcar.gov.in,(25
68,19:23:41,(ABAQUSLM),IN:,parallel,kulbir@node350.igcar.gov.in,(72
69,19:23:52,(ABAQUSLM),OUT:,parallel,askmanson@node353.igcar.gov.in,(48
70,20:03:25,(ABAQUSLM),OUT:,abaqus,prince@GWS-9,(4
71,20:03:25,(ABAQUSLM),OUT:,cae,prince@GWS-9,(4
72,21:10:55,(ABAQUSLM),IN:,standard,prince@GWS-9,(8
73,21:10:55,(ABAQUSLM),IN:,abaqus,prince@GWS-9,(8
74,21:10:55,(ABAQUSLM),IN:,parallel,prince@GWS-9,(4
75,21:11:39,(ABAQUSLM),OUT:,abaqus,prince@GWS-9,(8
76,21:11:39,(ABAQUSLM),OUT:,standard,prince@GWS-9,(8
77,21:11:39,(ABAQUSLM),OUT:,parallel,prince@GWS-9,(4
78,21:18:20,(ABAQUSLM),IN:,cae,prince@GWS-9,(4
79,21:18:20,(ABAQUSLM),IN:,abaqus,prince@GWS-9,(4
80,19:17:09,(ABAQUSLM),OUT:,abaqus,prince@GWS-9,(4
81,19:17:09,(ABAQUSLM),OUT:,cae,prince@GWS-9,(4
82,20:42:11,(ABAQUSLM),IN:,cae,prince@GWS-9,(4
83,20:42:11,(ABAQUSLM),IN:,abaqus,prince@GWS-9,(4
84,8:37:35,(ABAQUSLM),IN:,explicit,askmanson@node348.igcar.gov.in,(25
85,8:37:35,(ABAQUSLM),IN:,abaqus,askmanson@node348.igcar.gov.in,(25
86,8:37:35,(ABAQUSLM),IN:,parallel,askmanson@node348.igcar.gov.in,(48
87,21:21:58,(ABAQUSLM),IN:,standard,prince@GWS-9,(8
88,21:21:58,(ABAQUSLM),IN:,abaqus,prince@GWS-9,(8
89,21:21:58,(ABAQUSLM),IN:,parallel,prince@GWS-9,(4
90,21:24:44,(ABAQUSLM),OUT:,abaqus,prince@GWS-9,(4
91,21:24:44,(ABAQUSLM),OUT:,cae,prince@GWS-9,(4
92,21:27:57,(ABAQUSLM),IN:,cae,prince@GWS-9,(4
93,21:27:57,(ABAQUSLM),IN:,abaqus,prince@GWS-9,(4
94,9:55:43,(ABAQUSLM),OUT:,abaqus,kulbir@node355.igcar.gov.in,(30
95,9:55:43,(ABAQUSLM),OUT:,standard,kulbir@node355.igcar.gov.in,(30
96,9:55:44,(ABAQUSLM),OUT:,parallel,kulbir@node355.igcar.gov.in,(72
97,9:57:00,(ABAQUSLM),IN:,standard,kulbir@node355.igcar.gov.in,(30
98,9:57:00,(ABAQUSLM),IN:,abaqus,kulbir@node355.igcar.gov.in,(30
99,9:57:00,(ABAQUSLM),IN:,parallel,kulbir@node355.igcar.gov.in,(72
100,9:57:15,(ABAQUSLM),OUT:,abaqus,kulbir@node355.igcar.gov.in,(30
101,9:57:15,(ABAQUSLM),OUT:,standard,kulbir@node355.igcar.gov.in,(30
102,9:57:15,(ABAQUSLM),OUT:,parallel,kulbir@node355.igcar.gov.in,(72
103,12:13:19,(ABAQUSLM),IN:,abaqus,kulbir@node355.igcar.gov.in,(30
104,12:13:19,(ABAQUSLM),IN:,parallel,kulbir@node355.igcar.gov.in,(72
105,12:13:19,(ABAQUSLM),IN:,standard,kulbir@node355.igcar.gov.in,(30
106,12:14:37,(ABAQUSLM),OUT:,abaqus,kulbir@node355.igcar.gov.in,(30
107,12:14:37,(ABAQUSLM),OUT:,standard,kulbir@node355.igcar.gov.in,(30
108,12:14:38,(ABAQUSLM),OUT:,parallel,kulbir@node355.igcar.gov.in,(72
109,12:29:38,(ABAQUSLM),IN:,standard,kulbir@node355.igcar.gov.in,(30
110,12:29:38,(ABAQUSLM),IN:,abaqus,kulbir@node355.igcar.gov.in,(30
111,12:29:38,(ABAQUSLM),IN:,parallel,kulbir@node355.igcar.gov.in,(72
112,12:29:41,(ABAQUSLM),OUT:,abaqus,kulbir@node348.igcar.gov.in,(34
113,12:29:41,(ABAQUSLM),OUT:,standard,kulbir@node348.igcar.gov.in,(34
114,12:29:41,(ABAQUSLM),OUT:,parallel,kulbir@node348.igcar.gov.in,(96
115,12:29:41,(ABAQUSLM),1682927837/0/6.17-1/0/64/34,59/34/sta_par/19407/kulbir/unknown/node348.igcar.gov.in,,
116,12:49:27,(lmgrd),TIMESTAMP,5/1/2023,,
117,13:49:43,(ABAQUSLM),TIMESTAMP,5/1/2023,,
118,15:10:52,(ABAQUSLM),DENIED:,abaqus,kulbir@node355.igcar.gov.in,(30
119,15:10:52,(ABAQUSLM),DENIED:,standard,kulbir@node355.igcar.gov.in,(30
120,15:10:52,(ABAQUSLM),QUEUED:,abaqus,kulbir@node355.igcar.gov.in,(30
121,15:10:52,(ABAQUSLM),OUT:,standard,kulbir@node355.igcar.gov.in,(30
122,15:12:09,(ABAQUSLM),1682937584/1/6.19-1/25/exp_par/17719/askmanson/unknown/node353.igcar.gov.in,,,
123,15:12:09,(ABAQUSLM),IN:,explicit,askmanson@node353.igcar.gov.in,(25
124,15:12:09,(ABAQUSLM),IN:,abaqus,askmanson@node353.igcar.gov.in,(25
125,15:12:09,(ABAQUSLM),OUT:,abaqus,kulbir@node355.igcar.gov.in,(30
126,15:12:09,(ABAQUSLM),IN:,parallel,askmanson@node353.igcar.gov.in,(48
127,15:12:22,(ABAQUSLM),OUT:,parallel,kulbir@node355.igcar.gov.in,(72
128,15:12:22,(ABAQUSLM),1682937598/0/6.17-1/0/64/64,64/30/sta_par/26086/kulbir/unknown/node355.igcar.gov.in,,
129,17:19:57,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
130,17:19:57,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
131,17:19:57,(ABAQUSLM),QUEUED:,abaqus,askmanson@node352.igcar.gov.in,(25
132,17:19:57,(ABAQUSLM),OUT:,explicit,askmanson@node352.igcar.gov.in,(25
133,17:34:57,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
134,17:34:57,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
135,17:50:27,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
136,17:50:27,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
137,18:05:57,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
138,18:05:57,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
139,18:21:27,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
140,18:21:27,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
141,18:36:57,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
142,18:36:57,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
143,18:49:27,(lmgrd),TIMESTAMP,5/1/2023,,
144,18:52:27,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
145,18:52:27,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
146,19:07:57,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
147,19:07:57,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
148,19:23:27,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
149,19:23:27,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
150,19:38:57,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
151,19:38:57,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
152,19:54:27,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
153,19:54:27,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
154,19:54:47,(ABAQUSLM),TIMESTAMP,5/1/2023,,
155,20:09:57,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
156,20:09:57,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
157,20:25:27,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
158,20:25:27,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
159,20:40:57,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
160,20:40:57,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
161,20:56:27,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
162,20:56:27,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
163,21:11:57,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
164,21:11:57,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
165,21:27:27,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
166,21:27:27,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
167,21:42:57,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
168,21:42:57,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
169,21:58:27,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
170,21:58:27,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
171,22:13:57,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
172,22:13:57,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
173,22:29:27,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
174,22:29:27,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
175,22:44:57,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
176,22:44:57,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
177,23:00:27,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
178,23:00:27,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
179,23:15:57,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
180,23:15:57,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
181,23:31:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
182,23:31:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
183,23:46:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
184,23:46:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
185,0:02:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
186,0:02:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
187,0:17:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
188,0:17:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
189,0:33:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
190,0:33:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
191,0:48:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
192,0:48:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
193,0:49:27,(lmgrd),TIMESTAMP,5/2/2023,,
194,1:04:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
195,1:04:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
196,1:19:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
197,1:19:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
198,1:35:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
199,1:35:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
200,1:50:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
201,1:50:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
202,1:59:47,(ABAQUSLM),TIMESTAMP,5/2/2023,,
203,2:06:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
204,2:06:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
205,2:21:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
206,2:21:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
207,2:37:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
208,2:37:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
209,2:52:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
210,2:52:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
211,3:08:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
212,3:08:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
213,3:23:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
214,3:23:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
215,3:39:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
216,3:39:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
217,3:54:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
218,3:54:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
219,4:10:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
220,4:10:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
221,4:25:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
222,4:25:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
223,4:41:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
224,4:41:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
225,4:56:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
226,4:56:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
227,5:12:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
228,5:12:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
229,5:27:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
230,5:27:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
231,5:43:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
232,5:43:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
233,5:58:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
234,5:58:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
235,6:14:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
236,6:14:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
237,6:29:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
238,6:29:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
239,6:45:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
240,6:45:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
241,6:49:27,(lmgrd),TIMESTAMP,5/2/2023,,
242,7:00:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
243,7:00:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
244,7:15:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
245,7:15:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
246,7:31:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
247,7:31:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
248,7:46:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
249,7:46:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
250,8:02:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
251,8:02:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
252,8:04:51,(ABAQUSLM),TIMESTAMP,5/2/2023,,
253,8:17:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
254,8:17:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
255,8:33:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
256,8:33:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
257,8:48:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
258,8:48:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
259,9:04:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
260,9:04:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
261,9:19:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
262,9:19:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
263,9:35:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
264,9:35:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
265,9:50:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
266,9:50:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
267,10:06:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
268,10:06:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
269,10:21:58,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
270,10:21:58,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
271,10:37:28,(ABAQUSLM),DENIED:,abaqus,askmanson@node352.igcar.gov.in,(25
272,10:37:28,(ABAQUSLM),DENIED:,explicit,askmanson@node352.igcar.gov.in,(25
273,10:49:37,(ABAQUSLM),1683008233/1/6.17-1/30/sta_par/26086/kulbir/unknown/node355.igcar.gov.in,,,
274,10:49:37,(ABAQUSLM),IN:,standard,kulbir@node355.igcar.gov.in,(30
275,10:49:37,(ABAQUSLM),IN:,abaqus,kulbir@node355.igcar.gov.in,(30
276,10:49:37,(ABAQUSLM),OUT:,abaqus,askmanson@node352.igcar.gov.in,(25
277,10:49:37,(ABAQUSLM),IN:,parallel,kulbir@node355.igcar.gov.in,(72
278,10:49:58,(ABAQUSLM),OUT:,parallel,askmanson@node352.igcar.gov.in,(48
279,10:49:58,(ABAQUSLM),1683008254/0/6.19-1/0/64/25,59/25/exp_par/32482/askmanson/unknown/node352.igcar.gov.in,,
280,11:17:31,(ABAQUSLM),OUT:,abaqus,kulbir@GWS-24,(4
281,11:17:31,(ABAQUSLM),OUT:,cae,kulbir@GWS-24,(4
282,11:17:31,(ABAQUSLM),1683006506/0/6.19-1/0/64/4,63/4/cae/159472/kulbir/unknown/GWS-24,,
283,11:47:37,(ABAQUSLM),DENIED:,abaqus,kulbir@GWS-17,(2
284,11:47:37,(ABAQUSLM),DENIED:,viewer,kulbir@GWS-17,(Licensed
285,11:47:37,(ABAQUSLM),DENIED:,abaqus,kulbir@GWS-17,(2
286,11:47:37,(ABAQUSLM),DENIED:,viewer,kulbir@GWS-17,(Licensed
287,11:47:37,(ABAQUSLM),DENIED:,abaqus,kulbir@GWS-17,(2
288,11:47:37,(ABAQUSLM),DENIED:,cae,kulbir@GWS-17,(Licensed
289,11:47:54,(ABAQUSLM),DENIED:,abaqus,kulbir@GWS-17,(4
290,11:47:54,(ABAQUSLM),DENIED:,cae,kulbir@GWS-17,(Licensed
291,11:48:11,(ABAQUSLM),DENIED:,abaqus,kulbir@GWS-17,(4
292,11:48:11,(ABAQUSLM),DENIED:,cae,kulbir@GWS-17,(Licensed
293,11:50:27,(ABAQUSLM),DENIED:,abaqus,kulbir@GWS-17,(4
294,11:50:27,(ABAQUSLM),DENIED:,cae,kulbir@GWS-17,(Licensed
295,11:51:57,(ABAQUSLM),DENIED:,abaqus,kulbir@GWS-17,(4
296,11:51:57,(ABAQUSLM),DENIED:,cae,kulbir@GWS-17,(Licensed
297,11:52:16,(ABAQUSLM),DENIED:,abaqus,kulbir@GWS-17,(4
